month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2024/08/01 04:00:00+00,Sunday,4,Orange Line,150279,37570,386
2024/08/01 04:00:00+00,Sunday,4,Red Line,218785,54696,387
2024/08/01 04:00:00+00,Sunday,4,Heavy Rail,481351,120338,388
2024/08/01 04:00:00+00,Sunday,4,Green Line,245209,61302,389
2024/08/01 04:00:00+00,Sunday,4,Mattapan Line,4421,1105,390
2024/08/01 04:00:00+00,Sunday,4,Light Rail,249631,62408,391
2024/08/01 04:00:00+00,Sunday,4,Silver Line,75657,18914,392
2024/08/01 04:00:00+00,Sunday,4,Bus,454910,113728,393
2024/08/01 04:00:00+00,Sunday,4,All Bus,530567,132642,394
2024/08/01 04:00:00+00,Sunday,4,Commuter Rail,113568,28392,395
2024/08/01 04:00:00+00,Sunday,4,Ferry,16354,4088,396
2024/08/01 04:00:00+00,Sunday,4,The RIDE,6908,1727,397
2024/08/01 04:00:00+00,Total,31,Blue Line,1222025,39420,398
2024/08/01 04:00:00+00,Total,31,Orange Line,2722497,87822,399
2024/08/01 04:00:00+00,Total,31,Red Line,2955704,95345,400
2023/11/01 04:00:00+00,Sunday,4,Silver Line,84018,21004,401
2024/04/01 04:00:00+00,Sunday,4,All Bus,515502,128876,402
2024/03/01 05:00:00+00,Sunday,5,All Bus,604426,120885,403
2023/11/01 04:00:00+00,Sunday,4,Bus,479679,119920,404
2024/04/01 04:00:00+00,Sunday,4,Commuter Rail,113558,28390,405
2023/11/01 04:00:00+00,Sunday,4,All Bus,563698,140924,406
2024/03/01 05:00:00+00,Sunday,5,Commuter Rail,145335,29067,407
2024/04/01 04:00:00+00,Sunday,4,The RIDE,6876,1719,408
2023/11/01 04:00:00+00,Sunday,4,Commuter Rail,108072,27018,409
2024/03/01 05:00:00+00,Sunday,5,The RIDE,8645,1729,410
2024/04/01 04:00:00+00,Total,30,Blue Line,1021698,34057,411
2023/11/01 04:00:00+00,Sunday,4,The RIDE,6952,1738,412
2024/03/01 05:00:00+00,Total,31,Blue Line,1259650,40634,413
2024/04/01 04:00:00+00,Total,30,Orange Line,2845851,94862,414
2023/11/01 04:00:00+00,Total,30,Blue Line,1282685,42756,415
2024/03/01 05:00:00+00,Total,31,Orange Line,2575085,83067,416
2024/04/01 04:00:00+00,Total,30,Red Line,3343380,111446,417
2023/11/01 04:00:00+00,Total,30,Orange Line,2761654,92055,418
2024/03/01 05:00:00+00,Total,31,Red Line,3074332,99172,419
2024/04/01 04:00:00+00,Total,30,Heavy Rail,7210929,240364,420
2023/11/01 04:00:00+00,Total,30,Red Line,2969252,98975,421
2024/03/01 05:00:00+00,Total,31,Heavy Rail,6909066,222873,422
2024/04/01 04:00:00+00,Total,30,Green Line,2660864,88695,423
2023/11/01 04:00:00+00,Total,30,Heavy Rail,7013591,233786,424
2024/03/01 05:00:00+00,Total,31,Green Line,2208323,71236,425
2024/04/01 04:00:00+00,Total,30,Mattapan Line,76549,2552,426
2023/11/01 04:00:00+00,Total,30,Green Line,2269526,75651,427
2024/03/01 05:00:00+00,Total,31,Mattapan Line,74662,2408,428
2024/04/01 04:00:00+00,Total,30,Light Rail,2737413,91247,429
2023/11/01 04:00:00+00,Total,30,Mattapan Line,69846,2328,430
2024/03/01 05:00:00+00,Total,31,Light Rail,2282985,73645,431
2024/04/01 04:00:00+00,Total,30,Silver Line,835010,27834,432
2023/11/01 04:00:00+00,Total,30,Light Rail,2339372,77979,433
2024/03/01 05:00:00+00,Total,31,Silver Line,844945,27256,434
2024/04/01 04:00:00+00,Total,30,Bus,6981285,232710,435
2023/11/01 04:00:00+00,Total,30,Silver Line,808932,26964,436
2024/03/01 05:00:00+00,Total,31,Bus,7074289,228203,437
2024/04/01 04:00:00+00,Total,30,All Bus,7816296,260543,438
2023/11/01 04:00:00+00,Total,30,Bus,6702907,223430,439
2024/03/01 05:00:00+00,Total,31,All Bus,7919233,255459,440
2024/04/01 04:00:00+00,Total,30,Commuter Rail,2541466,84716,441
2023/11/01 04:00:00+00,Total,30,All Bus,7511839,250395,442
2024/03/01 05:00:00+00,Total,31,Commuter Rail,2456987,79258,443
2024/04/01 04:00:00+00,Total,30,Ferry,93989,3133,444
2023/11/01 04:00:00+00,Total,30,Commuter Rail,2342703,78090,445
2024/03/01 05:00:00+00,Total,31,Ferry,75290,2429,446
2024/04/01 04:00:00+00,Total,30,The RIDE,97699,3257,447
2023/11/01 04:00:00+00,Total,30,Ferry,87668,2922,448
2024/03/01 05:00:00+00,Total,31,The RIDE,100148,3231,449
2024/03/01 05:00:00+00,Weekday,21,Blue Line,958314,45634,450
2023/11/01 04:00:00+00,Total,30,The RIDE,94920,3164,451
2024/02/01 05:00:00+00,Weekday,20,Blue Line,867786,43389,452
2024/03/01 05:00:00+00,Weekday,21,Orange Line,2026736,96511,453
2023/10/01 04:00:00+00,Weekday,22,Blue Line,1116517,50751,454
2024/02/01 05:00:00+00,Weekday,20,Orange Line,2012491,100625,455
2024/03/01 05:00:00+00,Weekday,21,Red Line,2499645,119031,456
2023/10/01 04:00:00+00,Weekday,22,Orange Line,2500465,113658,457
2024/02/01 05:00:00+00,Weekday,20,Red Line,2115585,105779,458
2024/03/01 05:00:00+00,Weekday,21,Heavy Rail,5484695,261176,459
2023/10/01 04:00:00+00,Weekday,22,Red Line,2683095,121959,460
2024/02/01 05:00:00+00,Weekday,20,Heavy Rail,4986143,249307,461
2024/03/01 05:00:00+00,Weekday,21,Green Line,1657764,78941,462
2023/10/01 04:00:00+00,Weekday,22,Heavy Rail,6300077,286367,463
2024/02/01 05:00:00+00,Weekday,20,Green Line,1394515,69726,464
2024/03/01 05:00:00+00,Weekday,21,Mattapan Line,66824,3182,465
2023/10/01 04:00:00+00,Weekday,22,Green Line,2097097,95323,466
2024/02/01 05:00:00+00,Weekday,20,Mattapan Line,56155,2808,467
2024/03/01 05:00:00+00,Weekday,21,Light Rail,1724588,82123,468
2023/10/01 04:00:00+00,Weekday,22,Mattapan Line,35879,1631,469
2024/02/01 05:00:00+00,Weekday,20,Light Rail,1392706,69635,470
2024/03/01 05:00:00+00,Weekday,21,Silver Line,658405,31353,471
2023/10/01 04:00:00+00,Weekday,22,Light Rail,2132976,96953,472
2024/02/01 05:00:00+00,Weekday,20,Silver Line,567882,28394,473
2024/03/01 05:00:00+00,Weekday,21,Bus,5798089,276099,474
2023/10/01 04:00:00+00,Weekday,22,Silver Line,679341,30879,475
2024/02/01 05:00:00+00,Weekday,20,Bus,5325483,266274,476
2024/03/01 05:00:00+00,Weekday,21,All Bus,6456494,307452,477
2023/10/01 04:00:00+00,Weekday,22,Bus,6041841,274629,478
2024/02/01 05:00:00+00,Weekday,20,All Bus,5893364,294668,479
2024/03/01 05:00:00+00,Weekday,21,Commuter Rail,2179134,103768,480
2023/10/01 04:00:00+00,Weekday,22,All Bus,6721183,305508,481
2024/02/01 05:00:00+00,Weekday,20,Commuter Rail,1994039,99702,482
2024/03/01 05:00:00+00,Weekday,21,Ferry,70838,3373,483
2024/03/01 05:00:00+00,Weekday,21,The RIDE,82089,3909,484
2024/03/01 05:00:00+00,Saturday,5,Blue Line,165360,33072,485
2024/03/01 05:00:00+00,Saturday,5,Orange Line,306697,61339,486
2024/03/01 05:00:00+00,Saturday,5,Red Line,310278,62056,487
2024/03/01 05:00:00+00,Saturday,5,Heavy Rail,782335,156467,488
2024/03/01 05:00:00+00,Saturday,5,Green Line,306701,61340,489
2024/03/01 05:00:00+00,Saturday,5,Mattapan Line,4615,923,490
2024/03/01 05:00:00+00,Saturday,5,Light Rail,311315,62263,491
2024/03/01 05:00:00+00,Saturday,5,Silver Line,101271,20254,492
2024/03/01 05:00:00+00,Saturday,5,Bus,757042,151408,493
2024/03/01 05:00:00+00,Saturday,5,All Bus,858313,171663,494
2024/03/01 05:00:00+00,Saturday,5,Commuter Rail,132518,26504,495
2024/03/01 05:00:00+00,Saturday,5,The RIDE,9400,1880,496
2024/03/01 05:00:00+00,Sunday,5,Blue Line,135976,27195,497
2024/03/01 05:00:00+00,Sunday,5,Orange Line,241652,48330,498
2024/03/01 05:00:00+00,Sunday,5,Red Line,264409,52882,499
2024/03/01 05:00:00+00,Sunday,5,Heavy Rail,642037,128407,500
2024/03/01 05:00:00+00,Sunday,5,Green Line,243858,48772,501
2024/03/01 05:00:00+00,Sunday,5,Mattapan Line,3223,645,502
2024/03/01 05:00:00+00,Sunday,5,Light Rail,247082,49416,503
2024/03/01 05:00:00+00,Sunday,5,Silver Line,85268,17054,504
2024/03/01 05:00:00+00,Sunday,5,Bus,519157,103831,505
2023/10/01 04:00:00+00,Weekday,22,Commuter Rail,2160511,98205,506
2024/02/01 05:00:00+00,Weekday,20,Ferry,62982,3149,507
2023/10/01 04:00:00+00,Weekday,22,Ferry,110418,5019,508
2024/02/01 05:00:00+00,Weekday,20,The RIDE,75054,3753,509
2023/10/01 04:00:00+00,Weekday,22,The RIDE,83732,3806,510
2024/02/01 05:00:00+00,Saturday,4,Blue Line,129628,32407,511
2023/10/01 04:00:00+00,Saturday,4,Blue Line,153271,38318,512
2024/02/01 05:00:00+00,Saturday,4,Orange Line,245429,61357,513
2023/10/01 04:00:00+00,Saturday,4,Orange Line,306628,76657,514
2024/02/01 05:00:00+00,Saturday,4,Red Line,241862,60466,515
2023/10/01 04:00:00+00,Saturday,4,Red Line,300082,75020,516
2024/02/01 05:00:00+00,Saturday,4,Heavy Rail,615970,153992,517
2023/10/01 04:00:00+00,Saturday,4,Heavy Rail,759981,189995,518
2024/02/01 05:00:00+00,Saturday,4,Green Line,247141,61785,519
2023/10/01 04:00:00+00,Saturday,4,Green Line,319124,79781,520
2024/02/01 05:00:00+00,Saturday,4,Mattapan Line,6077,1519,521
2023/10/01 04:00:00+00,Saturday,4,Light Rail,319124,79781,522
2024/02/01 05:00:00+00,Saturday,4,Light Rail,246053,61513,523
2023/10/01 04:00:00+00,Saturday,4,Silver Line,109911,27478,524
2024/02/01 05:00:00+00,Saturday,4,Silver Line,72248,18062,525
2023/10/01 04:00:00+00,Saturday,4,Bus,789985,197496,526
2024/02/01 05:00:00+00,Saturday,4,Bus,614366,153592,527
2023/10/01 04:00:00+00,Saturday,4,All Bus,899896,224974,528
2024/02/01 05:00:00+00,Saturday,4,All Bus,686614,171654,529
2023/10/01 04:00:00+00,Saturday,4,Commuter Rail,152939,38235,530
2024/02/01 05:00:00+00,Saturday,4,Commuter Rail,151559,37890,531
2023/10/01 04:00:00+00,Saturday,4,The RIDE,7512,1878,532
2024/02/01 05:00:00+00,Saturday,4,The RIDE,7264,1816,533
2023/10/01 04:00:00+00,Sunday,5,Blue Line,152793,30559,534
2024/02/01 05:00:00+00,Sunday,4,Blue Line,98698,24674,535
2023/10/01 04:00:00+00,Sunday,5,Orange Line,282793,56559,536
2024/02/01 05:00:00+00,Sunday,4,Orange Line,177344,44336,537
2023/10/01 04:00:00+00,Sunday,5,Red Line,289714,57943,538
2024/02/01 05:00:00+00,Sunday,4,Red Line,186700,46675,539
2023/10/01 04:00:00+00,Sunday,5,Heavy Rail,725299,145060,540
2024/02/01 05:00:00+00,Sunday,4,Heavy Rail,461693,115423,541
2023/10/01 04:00:00+00,Sunday,5,Green Line,304719,60944,542
2024/02/01 05:00:00+00,Sunday,4,Green Line,183340,45835,543
2023/10/01 04:00:00+00,Sunday,5,Light Rail,304719,60944,544
2024/02/01 05:00:00+00,Sunday,4,Mattapan Line,4078,1020,545
2023/10/01 04:00:00+00,Sunday,5,Silver Line,92182,18436,546
2024/02/01 05:00:00+00,Sunday,4,Light Rail,179504,44876,547
2023/10/01 04:00:00+00,Sunday,5,Bus,551038,110208,548
2024/02/01 05:00:00+00,Sunday,4,Silver Line,63711,15928,549
2024/02/01 05:00:00+00,Sunday,4,Bus,414658,103664,550
2024/02/01 05:00:00+00,Sunday,4,All Bus,478369,119592,551
2024/02/01 05:00:00+00,Sunday,4,Commuter Rail,117915,29479,552
2024/02/01 05:00:00+00,Sunday,4,The RIDE,6292,1573,553
2024/02/01 05:00:00+00,Total,29,Blue Line,1127169,38868,554
2024/02/01 05:00:00+00,Total,29,Orange Line,2498734,86163,555
2024/02/01 05:00:00+00,Total,29,Red Line,2610722,90025,556
2024/02/01 05:00:00+00,Total,29,Heavy Rail,6236625,215056,557
2024/02/01 05:00:00+00,Total,29,Green Line,1883810,64959,558
2024/02/01 05:00:00+00,Total,29,Mattapan Line,67889,2341,559
2024/02/01 05:00:00+00,Total,29,Light Rail,1951699,67300,560
2024/02/01 05:00:00+00,Total,29,Silver Line,725807,25028,561
2024/02/01 05:00:00+00,Total,29,Bus,6504772,224302,562
2024/02/01 05:00:00+00,Total,29,All Bus,7230579,249330,563
2024/02/01 05:00:00+00,Total,29,Commuter Rail,2291395,79014,564
2024/02/01 05:00:00+00,Total,29,Ferry,66611,2297,565
2024/02/01 05:00:00+00,Total,29,The RIDE,88625,3056,566
2024/01/01 05:00:00+00,Weekday,21,Blue Line,892386,42495,567
2024/01/01 05:00:00+00,Weekday,21,Orange Line,2265993,107904,568
2024/01/01 05:00:00+00,Weekday,21,Red Line,2307481,109880,569
2024/01/01 05:00:00+00,Weekday,21,Heavy Rail,5397771,257037,570
2024/01/01 05:00:00+00,Weekday,21,Green Line,847664,40365,571
2024/01/01 05:00:00+00,Weekday,21,Mattapan Line,60227,2868,572
2024/01/01 05:00:00+00,Weekday,21,Light Rail,823400,39210,573
2024/01/01 05:00:00+00,Weekday,21,Silver Line,557230,26535,574
2024/01/01 05:00:00+00,Weekday,21,Bus,5304374,252589,575
2024/01/01 05:00:00+00,Weekday,21,All Bus,5861604,279124,576
2024/01/01 05:00:00+00,Weekday,21,Commuter Rail,2050154,97626,577
2024/01/01 05:00:00+00,Weekday,21,Ferry,69553,3312,578
2024/01/01 05:00:00+00,Weekday,21,The RIDE,78430,3735,579
2024/01/01 05:00:00+00,Saturday,4,Blue Line,114508,28627,580
2024/01/01 05:00:00+00,Saturday,4,Orange Line,269240,67310,581
2024/01/01 05:00:00+00,Saturday,4,Red Line,249419,62355,582
2024/01/01 05:00:00+00,Saturday,4,Heavy Rail,630092,157523,583
2024/01/01 05:00:00+00,Saturday,4,Green Line,88010,22002,584
2024/01/01 05:00:00+00,Saturday,4,Mattapan Line,5573,1393,585
2024/01/01 05:00:00+00,Saturday,4,Light Rail,85032,21258,586
2024/01/01 05:00:00+00,Saturday,4,Silver Line,88037,22009,587
2024/01/01 05:00:00+00,Saturday,4,Bus,691494,172874,588
2024/01/01 05:00:00+00,Saturday,4,All Bus,779531,194883,589
2024/01/01 05:00:00+00,Saturday,4,Commuter Rail,104102,26026,590
2024/01/01 05:00:00+00,Saturday,4,Ferry,728,182,591
2024/01/01 05:00:00+00,Saturday,4,The RIDE,7652,1913,592
2024/01/01 05:00:00+00,Sunday,4,Blue Line,81395,20349,593
2024/01/01 05:00:00+00,Sunday,4,Orange Line,170672,42668,594
2024/01/01 05:00:00+00,Sunday,4,Red Line,173460,43365,595
2024/01/01 05:00:00+00,Sunday,4,Heavy Rail,422089,105522,596
2024/01/01 05:00:00+00,Sunday,4,Green Line,67403,16851,597
2024/01/01 05:00:00+00,Sunday,4,Mattapan Line,3386,846,598
2024/01/01 05:00:00+00,Sunday,4,Light Rail,63974,15994,599
2024/01/01 05:00:00+00,Sunday,4,Silver Line,70912,17728,600
2023/12/01 05:00:00+00,Sunday,5,Silver Line,81866,16373,601
2024/05/01 04:00:00+00,Sunday,4,Commuter Rail,112825,28206,602
2024/05/01 04:00:00+00,Sunday,4,Ferry,6524,1631,603
2023/12/01 05:00:00+00,Sunday,5,Bus,465170,93034,604
2024/05/01 04:00:00+00,Sunday,4,The RIDE,6888,1722,605
2023/12/01 05:00:00+00,Sunday,5,All Bus,547036,109407,606
2024/05/01 04:00:00+00,Total,31,Blue Line,1373447,44305,607
2023/12/01 05:00:00+00,Sunday,5,Commuter Rail,172606,34521,608
2024/05/01 04:00:00+00,Total,31,Orange Line,2658311,85752,609
2023/12/01 05:00:00+00,Sunday,5,The RIDE,8315,1663,610
2024/05/01 04:00:00+00,Total,31,Red Line,3117512,100565,611
2023/12/01 05:00:00+00,Total,31,Blue Line,1183285,38170,612
2024/05/01 04:00:00+00,Total,31,Heavy Rail,7149269,230622,613
2023/12/01 05:00:00+00,Total,31,Orange Line,2583603,83342,614
2024/05/01 04:00:00+00,Total,31,Green Line,2607128,84101,615
2023/12/01 05:00:00+00,Total,31,Red Line,2781114,89713,616
2024/05/01 04:00:00+00,Total,31,Mattapan Line,78555,2534,617
2023/12/01 05:00:00+00,Total,31,Heavy Rail,6548003,211226,618
2024/05/01 04:00:00+00,Total,31,Light Rail,2685682,86635,619
2023/12/01 05:00:00+00,Total,31,Green Line,1923248,62040,620
2024/05/01 04:00:00+00,Total,31,Silver Line,883599,28503,621
2023/12/01 05:00:00+00,Total,31,Mattapan Line,67289,2171,622
2024/05/01 04:00:00+00,Total,31,Bus,7404088,238842,623
2023/12/01 05:00:00+00,Total,31,Light Rail,1990537,64211,624
2024/05/01 04:00:00+00,Total,31,All Bus,8287688,267345,625
2023/12/01 05:00:00+00,Total,31,Silver Line,769111,24810,626
2024/05/01 04:00:00+00,Total,31,Commuter Rail,2678145,86392,627
2023/12/01 05:00:00+00,Total,31,Bus,6201686,200054,628
2024/05/01 04:00:00+00,Total,31,Ferry,126341,4076,629
2023/12/01 05:00:00+00,Total,31,All Bus,6970797,224864,630
2024/05/01 04:00:00+00,Total,31,The RIDE,101725,3281,631
2023/12/01 05:00:00+00,Total,31,Commuter Rail,2264824,73059,632
2024/04/01 04:00:00+00,Weekday,22,Blue Line,825297,37514,633
2023/12/01 05:00:00+00,Total,31,Ferry,59871,1931,634
2024/04/01 04:00:00+00,Weekday,22,Orange Line,2398515,109023,635
2023/12/01 05:00:00+00,Total,31,The RIDE,89966,2902,636
2024/04/01 04:00:00+00,Weekday,22,Red Line,2785651,126620,637
2023/11/01 04:00:00+00,Weekday,21,Blue Line,1006989,47952,638
2024/04/01 04:00:00+00,Weekday,22,Heavy Rail,6009462,273157,639
2023/11/01 04:00:00+00,Weekday,21,Orange Line,2274354,108303,640
2024/04/01 04:00:00+00,Weekday,22,Green Line,2055985,93454,641
2023/11/01 04:00:00+00,Weekday,21,Red Line,2479743,118083,642
2024/04/01 04:00:00+00,Weekday,22,Mattapan Line,68470,3112,643
2023/11/01 04:00:00+00,Weekday,21,Heavy Rail,5761085,274337,644
2024/04/01 04:00:00+00,Weekday,22,Light Rail,2124455,96566,645
2023/11/01 04:00:00+00,Weekday,21,Green Line,1732501,82500,646
2024/04/01 04:00:00+00,Weekday,22,Silver Line,650934,29588,647
2023/11/01 04:00:00+00,Weekday,21,Mattapan Line,59431,2830,648
2024/04/01 04:00:00+00,Weekday,22,Bus,5718315,259923,649
2023/11/01 04:00:00+00,Weekday,21,Light Rail,1791931,85330,650
2024/04/01 04:00:00+00,Weekday,22,All Bus,6369249,289511,651
2023/11/01 04:00:00+00,Weekday,21,Silver Line,638204,30391,652
2024/04/01 04:00:00+00,Weekday,22,Commuter Rail,2312422,105110,653
2023/11/01 04:00:00+00,Weekday,21,Bus,5628924,268044,654
2024/04/01 04:00:00+00,Weekday,22,Ferry,87622,3983,655
2023/11/01 04:00:00+00,Weekday,21,All Bus,6267128,298435,656
2024/04/01 04:00:00+00,Weekday,22,The RIDE,83160,3780,657
2023/11/01 04:00:00+00,Weekday,21,Commuter Rail,2084911,99281,658
2024/04/01 04:00:00+00,Saturday,4,Blue Line,111573,27893,659
2023/11/01 04:00:00+00,Weekday,21,Ferry,82819,3944,660
2024/04/01 04:00:00+00,Saturday,4,Orange Line,260859,65215,661
2023/11/01 04:00:00+00,Weekday,21,The RIDE,80432,3830,662
2024/04/01 04:00:00+00,Saturday,4,Red Line,320934,80234,663
2023/11/01 04:00:00+00,Saturday,4,Blue Line,143899,35975,664
2024/04/01 04:00:00+00,Saturday,4,Heavy Rail,693365,173341,665
2023/11/01 04:00:00+00,Saturday,4,Orange Line,261474,65368,666
2024/04/01 04:00:00+00,Saturday,4,Green Line,338515,84629,667
2023/11/01 04:00:00+00,Saturday,4,Red Line,260472,65118,668
2024/04/01 04:00:00+00,Saturday,4,Mattapan Line,5258,1314,669
2023/11/01 04:00:00+00,Saturday,4,Heavy Rail,665845,166461,670
2024/04/01 04:00:00+00,Saturday,4,Light Rail,343773,85943,671
2023/11/01 04:00:00+00,Saturday,4,Green Line,293060,73265,672
2024/04/01 04:00:00+00,Saturday,4,Silver Line,84896,21224,673
2024/04/01 04:00:00+00,Saturday,4,Bus,635244,158811,674
2024/04/01 04:00:00+00,Saturday,4,All Bus,720140,180035,675
2024/04/01 04:00:00+00,Saturday,4,Commuter Rail,115486,28872,676
2024/04/01 04:00:00+00,Saturday,4,The RIDE,7660,1915,677
2024/04/01 04:00:00+00,Sunday,4,Blue Line,88285,22071,678
2024/04/01 04:00:00+00,Sunday,4,Orange Line,200639,50160,679
2024/04/01 04:00:00+00,Sunday,4,Red Line,251970,62992,680
2024/04/01 04:00:00+00,Sunday,4,Heavy Rail,540895,135224,681
2024/04/01 04:00:00+00,Sunday,4,Green Line,271123,67781,682
2024/04/01 04:00:00+00,Sunday,4,Mattapan Line,3382,846,683
2024/04/01 04:00:00+00,Sunday,4,Light Rail,274505,68626,684
2024/04/01 04:00:00+00,Sunday,4,Silver Line,72026,18006,685
2024/04/01 04:00:00+00,Sunday,4,Bus,443476,110869,686
2023/11/01 04:00:00+00,Saturday,4,Mattapan Line,5828,1457,687
2023/11/01 04:00:00+00,Saturday,4,Light Rail,298888,74722,688
2023/11/01 04:00:00+00,Saturday,4,Silver Line,86709,21677,689
2023/11/01 04:00:00+00,Saturday,4,Bus,594304,148576,690
2023/11/01 04:00:00+00,Saturday,4,All Bus,681013,170253,691
2023/11/01 04:00:00+00,Saturday,4,Commuter Rail,125901,31475,692
2023/11/01 04:00:00+00,Saturday,4,The RIDE,7512,1878,693
2023/11/01 04:00:00+00,Sunday,4,Blue Line,115528,28882,694
2023/11/01 04:00:00+00,Sunday,4,Orange Line,199396,49849,695
2023/11/01 04:00:00+00,Sunday,4,Red Line,201278,50320,696
2023/11/01 04:00:00+00,Sunday,4,Heavy Rail,516202,129050,697
2023/11/01 04:00:00+00,Sunday,4,Green Line,220725,55181,698
2023/11/01 04:00:00+00,Sunday,4,Mattapan Line,3900,975,699
2023/11/01 04:00:00+00,Sunday,4,Light Rail,224625,56156,700
2023/10/01 04:00:00+00,Sunday,5,All Bus,643220,128644,701
2023/10/01 04:00:00+00,Sunday,5,Commuter Rail,151508,30302,702
2023/10/01 04:00:00+00,Sunday,5,The RIDE,8345,1669,703
2023/10/01 04:00:00+00,Total,31,Blue Line,1422580,45890,704
2023/10/01 04:00:00+00,Total,31,Orange Line,3089886,99674,705
2023/10/01 04:00:00+00,Total,31,Red Line,3272891,105577,706
2023/10/01 04:00:00+00,Total,31,Heavy Rail,7785357,251141,707
2023/10/01 04:00:00+00,Total,31,Green Line,2720940,87772,708
2023/10/01 04:00:00+00,Total,31,Mattapan Line,35899,1158,709
2023/10/01 04:00:00+00,Total,31,Light Rail,2756839,88930,710
2023/10/01 04:00:00+00,Total,31,Silver Line,881434,28433,711
2023/10/01 04:00:00+00,Total,31,Bus,7382864,238157,712
2023/10/01 04:00:00+00,Total,31,All Bus,8264299,266590,713
2023/10/01 04:00:00+00,Total,31,Commuter Rail,2548014,82194,714
2023/10/01 04:00:00+00,Total,31,Ferry,121462,3918,715
2023/10/01 04:00:00+00,Total,31,The RIDE,99606,3213,716
2023/09/01 04:00:00+00,Weekday,20,Blue Line,1012882,50644,717
2023/09/01 04:00:00+00,Weekday,20,Orange Line,2173928,108696,718
2023/09/01 04:00:00+00,Weekday,20,Red Line,2614113,130706,719
2023/09/01 04:00:00+00,Weekday,20,Heavy Rail,5800924,290046,720
2023/09/01 04:00:00+00,Weekday,20,Green Line,1912538,95627,721
2023/09/01 04:00:00+00,Weekday,20,Mattapan Line,62925,3146,722
2023/09/01 04:00:00+00,Weekday,20,Light Rail,1975462,98773,723
2023/09/01 04:00:00+00,Weekday,20,Silver Line,637690,31884,724
2023/09/01 04:00:00+00,Weekday,20,Bus,5609479,280474,725
2023/09/01 04:00:00+00,Weekday,20,All Bus,6247169,312358,726
2023/09/01 04:00:00+00,Weekday,20,Commuter Rail,1825185,91259,727
2023/09/01 04:00:00+00,Weekday,20,Ferry,102476,5124,728
2023/09/01 04:00:00+00,Weekday,20,The RIDE,76629,3831,729
2023/09/01 04:00:00+00,Saturday,5,Blue Line,182813,36563,730
2023/09/01 04:00:00+00,Saturday,5,Orange Line,328015,65603,731
2023/09/01 04:00:00+00,Saturday,5,Red Line,362049,72410,732
2023/09/01 04:00:00+00,Saturday,5,Heavy Rail,872876,174575,733
2023/09/01 04:00:00+00,Saturday,5,Green Line,364584,72917,734
2023/09/01 04:00:00+00,Saturday,5,Mattapan Line,6171,1234,735
2023/09/01 04:00:00+00,Saturday,5,Light Rail,370755,74151,736
2023/09/01 04:00:00+00,Saturday,5,Silver Line,101332,20266,737
2023/09/01 04:00:00+00,Saturday,5,Bus,749304,149861,738
2023/09/01 04:00:00+00,Saturday,5,All Bus,850635,170127,739
2023/09/01 04:00:00+00,Saturday,5,Commuter Rail,150083,30017,740
2023/09/01 04:00:00+00,Saturday,5,The RIDE,8765,1753,741
2023/09/01 04:00:00+00,Sunday,4,Blue Line,123366,30842,742
2023/09/01 04:00:00+00,Sunday,4,Orange Line,217539,54385,743
2023/09/01 04:00:00+00,Sunday,4,Red Line,260435,65109,744
2023/09/01 04:00:00+00,Sunday,4,Heavy Rail,601340,150335,745
2023/09/01 04:00:00+00,Sunday,4,Green Line,258863,64716,746
2023/09/01 04:00:00+00,Sunday,4,Mattapan Line,4431,1108,747
2023/09/01 04:00:00+00,Sunday,4,Light Rail,263294,65824,748
